"MLO" "BRW" "SMO" "SPO" "date_time"
NA NA NA NA 94737600
NA NA NA NA 97416000
NA NA NA NA 99835200
NA NA NA NA 102513600
NA NA NA NA 105105600
NA NA NA NA 107784000
NA 324.433 NA NA 110376000
NA 322.734 NA NA 113054400
NA 324.617 NA NA 115732800
NA 329.533 NA NA 118324800
NA 333.679 NA NA 121003200
NA 334.631 NA NA 123595200
NA 338.292 NA NA 126273600
NA 336.823 NA NA 128952000
NA 337.486 NA NA 131371200
NA 337.903 NA NA 134049600
333.157 337.717 NA NA 136641600
332.059 336.759 NA NA 139320000
330.988 330.936 NA NA 141912000
329.165 324.748 NA NA 144590400
327.407 325.627 NA NA 147268800
327.201 329.906 NA NA 149860800
328.325 332.864 NA NA 152539200
329.501 336.081 NA NA 155131200
330.683 337.59 NA NA 157809600
331.409 337.933 NA NA 160488000
331.846 338.011 NA NA 162907200
333.289 338.584 NA NA 165585600
333.912 338.948 NA NA 168177600
333.398 336.142 NA NA 170856000
331.783 329.457 NA NA 173448000
329.877 323.919 NA NA 176126400
328.566 324.344 NA NA 178804800
328.465 328.627 NA NA 181396800
329.255 333.938 NA 329.894 184075200
329.685 335.847 NA 329.731 186667200
331.713 336.466 332.459 329.445 189345600
332.765 336.117 331.836 329.211 192024000
333.485 337.216 331.273 329.061 194529600
334.776 337.447 331.245 329.038 197208000
334.785 337.238 330.66 329.098 199800000
334.167 336.177 331.283 329.328 202478400
332.776 330.586 331.166 329.691 205070400
330.642 323.647 331.134 330.131 207748800
328.952 324.982 331.252 330.486 210427200
328.766 329.691 331.438 330.518 213019200
330.233 333.935 331.937 330.61 215697600
331.688 336.711 331.786 330.641 218289600
332.696 336.868 331.734 330.288 220968000
333.237 336.953 331.905 331.126 223646400
334.964 338.321 331.95 330.947 226065600
336.037 339.144 331.885 331.006 228744000
336.82 339.388 332.715 331.126 231336000
336.126 337.719 333.696 331.356 234014400
334.729 330.093 333.262 331.626 236606400
332.518 325.755 332.992 331.98 239284800
331.19 326.949 332.853 332.328 241963200
331.193 332.056 333.341 332.627 244555200
332.353 334.78 NA 332.595 247233600
333.475 338.652 NA 332.302 249825600
335.108 339.154 NA 332.059 252504000
335.261 340.038 334.493 331.922 255182400
336.598 341.477 335.097 331.939 257601600
337.769 340.953 335.355 332.301 260280000
338.003 340.772 335.072 332.847 262872000
337.994 339.448 335.191 333.411 265550400
336.481 332.587 334.934 333.813 268142400
334.372 327.919 335.593 334.399 270820800
332.268 328.545 335.479 334.696 273499200
332.405 332.387 NA 334.702 276091200
333.759 338.787 NA 334.531 278769600
334.828 339.423 NA NA 281361600
336.212 340.2 NA NA 284040000
336.637 341.236 336.128 NA 286718400
338.122 342.493 335.909 NA 289137600
339.024 342.348 336.33 NA 291816000
339.018 342.844 335.925 NA 294408000
339.196 341.958 336.054 NA 297086400
337.578 333.022 336.241 NA 299678400
335.55 327.813 336.28 NA 302356800
333.891 330.205 336.315 NA 305035200
334.141 333.418 336.603 NA 307627200
335.264 338.006 336.666 NA 310305600
336.708 341.357 336.839 NA 312897600
337.81 341.84 337.47 336.14 315576000
338.29 342.43 337.52 335.95 318254400
340.04 343.39 337.91 336.02 320760000
340.86 343.33 337.41 336.22 323438400
341.47 343.31 337.83 336.58 326030400
341.26 342.76 337.94 336.92 328708800
339.29 337.2 338.31 337.37 331300800
337.6 332.08 338.26 337.65 333979200
336.12 331.43 338.19 337.89 336657600
336.08 337.1 338.1 338.08 339249600
337.22 340.53 338.53 338.02 341928000
338.34 343.57 338.76 338.1 344520000
339.36 344.32 338.85 337.85 347198400
340.51 345.75 339.15 337.81 349876800
341.57 344.73 338.57 337.89 352296000
342.56 345.87 339.28 337.91 354974400
343.01 346.91 338.77 338.06 357566400
342.45 344.53 339.26 338.34 360244800
340.68 336.81 339.1 338.75 362836800
338.55 332.11 339.23 338.95 365515200
336.92 334.02 339.22 339.2 368193600
337.12 339.39 338.97 339.1 370785600
338.59 342.77 339.41 338.91 373464000
339.87 345.07 339.79 338.61 376056000
340.93 345.85 340.34 339.21 378734400
341.69 348.14 340.32 339.17 381412800
342.69 348.4 340.37 339.12 383832000
343.87 348.28 340.03 339.31 386510400
344.67 348.18 339.91 339.62 389102400
343.79 345.93 339.99 339.65 391780800
342.33 339.49 340.5 340.04 394372800
340.15 332.69 340.51 340.36 397051200
338.29 333.04 340.25 340.66 399729600
338.4 338.12 340.17 340.63 402321600
339.5 342.16 340.35 340.42 4.05e+08
340.88 344.55 340.38 340.04 407592000
341.64 347.33 340.48 339.78 410270400
342.88 346.85 340.69 339.71 412948800
343.58 348.25 340.94 339.79 415368000
345.28 348.29 340.81 340.16 418046400
345.96 348.47 341.35 NA 420638400
345.55 347.1 341.85 341.03 423316800
344.14 340.73 342.1 341.28 425908800
342.22 333.64 342.2 341.95 428587200
340.17 335.14 342.23 342.12 431265600
340.3 340.41 342.34 342.24 433857600
341.51 346.68 342.67 342.31 436536000
343.12 346.97 342.86 342.21 439128000
344.05 350.66 343.38 342.05 441806400
344.78 351.11 343.65 342 444484800
345.38 350.21 343.66 341.79 446990400
347.27 349.98 343.84 341.87 449668800
347.54 350.88 342.64 342.03 452260800
346.92 348.48 342.86 342.23 454939200
345.59 341.9 343.35 342.65 457531200
343.17 335.87 343.48 343.19 460209600
341.33 338.45 343.54 343.5 462888000
341.66 342.14 343.55 343.66 465480000
343.02 345.11 343.62 343.5 468158400
344.59 348.72 344.25 343.28 470750400
345.26 349.93 344.22 343.17 473428800
346.06 349.59 344.68 343.01 476107200
347.67 350.66 344.71 342.89 478526400
348.18 351.68 344.61 343.05 481204800
348.92 352.64 344.9 343.37 483796800
348.4 350.14 344.54 343.71 486475200
346.71 343.88 344.98 344.2 489067200
344.78 338 345.01 344.68 491745600
343.19 337.59 344.54 344.92 494424000
343.09 343.09 344.49 344.95 497016000
344.42 347.18 344.75 345 499694400
345.83 349.23 345.24 344.75 502286400
346.56 350.19 345.76 344.71 504964800
347.13 351.74 345.96 344.61 507643200
348.05 353.68 345.85 344.54 510062400
349.77 353.14 346.02 344.58 512740800
350.53 353.48 345.74 344.78 515332800
349.92 351.77 346.54 345.07 518011200
348.16 344.67 346.35 345.53 520603200
346.06 339.37 345.92 345.91 523281600
344.97 341.66 346.18 346.19 525960000
344.46 344.53 346.26 346.41 528552000
345.86 348.74 346.25 346.15 531230400
347.14 351 346.41 345.96 533822400
348.37 352.43 346.77 345.89 536500800
348.7 352.85 347.16 345.74 539179200
349.68 354.12 346.93 345.71 541598400
351.32 354.09 346.55 345.87 544276800
352.14 354.63 348.04 346.08 546868800
351.63 352.35 348.03 346.61 549547200
349.96 346.83 348.42 347.1 552139200
347.82 340.61 347.93 347.63 554817600
346.53 340.46 348.12 348.09 557496000
346.66 348.3 348.23 348.29 560088000
347.91 349.75 348.44 348.35 562766400
349.18 352.75 349.04 348.33 565358400
350.36 355.05 349.49 348.15 568036800
351.71 356.5 349.86 348.09 570715200
352.23 356.56 350.01 348.17 573220800
353.66 357.47 350.86 348.38 575899200
354.18 356.75 349.86 348.4 578491200
353.66 355.3 349.74 348.63 581169600
352.59 348.71 350.06 349.03 583761600
350.73 343.2 350.15 349.52 586440000
349.04 345.54 349.76 349.83 589118400
349.08 350.72 350.12 349.93 591710400
350.19 354.5 350.6 349.84 594388800
351.43 358.04 351.16 349.68 596980800
352.89 361.06 351.55 349.85 599659200
353.24 358.49 351.88 349.84 602337600
353.81 359.58 351.69 349.78 604756800
355.59 359.65 351.59 349.89 607435200
355.89 359.14 351.91 350.11 610027200
355.3 357.6 351.05 350.41 612705600
353.98 350.39 351.23 350.78 615297600
351.51 344.52 351.35 351.22 617976000
350.01 346.37 351.27 351.32 620654400
350.3 351.42 351.39 351.38 623246400
351.44 355.27 351.79 351.55 625924800
352.81 358.51 351.8 351.18 628516800
353.8 359.77 352.43 351.04 631195200
354.88 360 353.34 350.76 633873600
355.65 361.54 NA 350.86 636292800
356.26 361.07 NA 350.94 638971200
357.29 360.51 352.3 351.37 641563200
356.32 357 353.05 351.79 644241600
354.92 349.79 352.8 352.28 646833600
352.91 346 352.92 352.62 649512000
351.28 346.57 352.98 352.82 652190400
351.59 353.04 352.83 352.87 654782400
353.04 356.51 353.01 352.89 657460800
354.28 359.26 353.52 352.49 660052800
354.86 361.08 354.11 352.42 662731200
355.68 362.31 354.6 352.13 665409600
357.1 361.42 354.45 351.88 667828800
358.51 361.97 353.84 352.09 670507200
359.09 361.68 353.74 352.34 673099200
358.1 359.96 354.07 352.67 675777600
356.15 353.84 354.23 353.08 678369600
353.89 347.38 353.91 353.48 681048000
352.3 348.43 353.75 353.62 683726400
352.32 355.86 353.86 353.64 686318400
353.79 358.45 354.47 353.86 688996800
355.07 360.66 354.9 353.73 691588800
356.18 361.69 354.38 353.45 694267200
356.94 362.33 354.72 353.2 696945600
357.82 362.6 354.92 353.1 699451200
359 362.69 354.77 353.42 702129600
359.55 362.84 354.76 353.79 704721600
359.32 360.61 355.02 354.19 707400000
